ICAO.Code,IATA.Code,Airport.Name,City,Country,Latitude,Longitude
DAAV,GJL,JIJEL,JIJEL,ALGERIA,36.795,5.873
DAAW,N/A,N/A,BORDJ OMAR DRISS,ALGERIA,0,0
DAAX,N/A,N/A,CHERAGAS,ALGERIA,0,0
DAAY,N/A,MECHERIA,MECHERIA,ALGERIA,33.536,-0.242
DAAZ,N/A,RELIZANE,RELIZANE,ALGERIA,35.752,0.626
DABB,AAE,ANNABA,ANNABA,ALGERIA,36.822,7.809
DABC,CZL,MOHAMED BOUDIAF INTERNATIONAL,CONSTANTINE,ALGERIA,36.277,6.624
DABP,N/A,N/A,SKIKDA,ALGERIA,0,0
DABS,TEE,CHEIKH LARBI TEBESSI,TEBESSA,ALGERIA,35.431,8.121
DABT,N/A,N/A,BATNA,ALGERIA,0,0
DADF,N/A,N/A,DARRA-I-SOOF,AFGHANISTAN,0,0
DAFH,HRM,HASSI R MEL,TILREMPT,ALGERIA,32.93,3.312
DAFI,N/A,N/A,DJELFA,ALGERIA,0,0
DAOB,TID,BOU CHEKIF,TIARET,ALGERIA,35.341,1.463
DAOC,CBH,N/A,BECHAR,ALGERIA,0,0
DAOE,N/A,BOU SFER,BOU SFER,ALGERIA,35.735,-0.805
DAOF,TIN,TINDOUF,TINDOUF,ALGERIA,27.7,-8.167
DAOI,QAS,ECH CHELIFF,ECH-CHELIFF,ALGERIA,36.213,1.332
DAOL,TAF,TAFARAOUI,ORAN,ALGERIA,35.542,-0.532
DAON,TLM,ZENATA,TLEMCEN,ALGERIA,35.017,-1.45
DAOO,ORN,ES SENIA,ORAN,ALGERIA,35.624,-0.621
DAOS,N/A,SIDI BEL ABBES,SIDI BEL ABBES,ALGERIA,35.172,-0.593
DAOV,MUW,GHRISS,GHRISS,ALGERIA,35.208,0.147
DASM,N/A,N/A,SAMANGAN,AFGHANISTAN,0,0
DATG,INF,N/A,IN GUEZZAM,ALGERIA,0,0
DATM,BMW,N/A,BORDJ MOKHTAR,ALGERIA,0,0
DAUA,AZR,TOUAT CHEIKH SIDI MOHAMED BELKEBIR,ADRAR,ALGERIA,27.837,-0.186
DAUB,BSK,BISKRA,BISKRA,ALGERIA,34.793,5.738
DAUE,ELG,EL GOLEA,EL GOLEA,ALGERIA,30.571,2.859
DAUG,GHA,NOUMERATE,GHARDAIA,ALGERIA,32.384,3.794
DAUH,HME,OUED IRARA,HASSI-MESSAOUD,ALGERIA,31.673,6.14
DAUI,INZ,IN SALAH,IN SALAH,ALGERIA,27.251,2.512
DAUK,TGR,SIDI MAHDI,TOUGGOURT,ALGERIA,33.068,6.089
DAUL,LOO,LAGHOUAT,LAGHOUAT,ALGERIA,33.764,2.927
DAUT,TMX,TIMIMOUN,TIMIMOUN,ALGERIA,29.237,0.276
DAUU,OGX,OUARGLA,OUARGLA,ALGERIA,31.917,5.413
DAUZ,IAM,IN AMENAS,ZARZAITINE,ALGERIA,28.051,9.643
DBBB,COO,COTONOU CADJEHOUN,COTONOU,BENIN,6.357,2.384
DBBC,N/A,N/A,CANA,BENIN,0,0
DBBD,N/A,N/A,DJOUGOU,BENIN,0,0
DBBK,KDC,N/A,KANDI,BENIN,0,0
DBBN,NAE,N/A,NATITINGOU,BENIN,0,0
